text3205;"""Get up!"""
text4215;"""That's not all, Iwamura-san! Please do deign to explain yourself!"""
text4216;"""Or do you want to say you don't live on the waterfront, in a restaurant called \""Gifts of the Sea\"", and that you didn't see me there yesterday?"""
text4217;"""Exactly."""
text4218;"""Her response was unexpectedly calm."""
text4219;"""We came to a dead end."""
text4220;"""I couldn't start torturing her, now could I?"""
text4221;"""After you."""
text4222;"""I took a step back and gestured toward the exit."""
text4223;"""Kagome quickly, but not too quickly, walked past without sparing me as much as another glance."""
text4224;"""..."""
text4225;"""One thing was clear — she had something to hide."""
text4226;"""And I was trying to find out what my father had been doing at Kobayashi Corporation."""
text4227;"""Following Ichinose's lead, looking for this Akira Shinji."""
text4228;"""And in my search, I ran into a classmate of mine — Iwamura Kagome, a shy (at least at first glance), timid girl whose only dream was clearly for people to stop bothering her."""
text4229;"""Where's the logic in that?"""
text4230;"""Maybe all of this truly was a wondrous coincidence and she acted like she did because she was scared?"""
text4231;"""..."""
text4232;"""I returned to class and was immediately interrogated by Kyosuke."""
text4233;"""Nick, where'd you go with Iwamura?"""
text4234;"""None of your business!"""
text4235;"""I snarled."""
text4236;"""I had exactly zero desire to make up excuses he would believe."""
text4237;"""You've chosen an odd target, Casanova!"""
text4238;"""Kyosuke smirked and bumped me in the shoulder."""
text4239;"""Bugger off!"""
text4240;"""I snapped and he immediately disappeared into thin air."""
text4241;"""The next lesson started."""
text4242;"""No, I couldn't believe it! <w>This couldn't be just a coincidence."""
text4243;"""Kagome was somehow connected to Akira Shinji or at least knew something!"""
text4244;"""I decided to follow her today."""
text4245;"""The school day dragged on painfully slowly."""
text4246;"""During the breaks, I chattered with Kyosuke without letting my eyes off of Kagome. I didn't even go to lunch to keep her in sight."""
text4247;"""But I didn't notice anything suspicious, and why would I?"""
text4248;"""Finally, the school day came to its end, the students started to get ready to go home."""
text4249;"""I quickly threw my books into my backpack and ran out of the class."""
text4250;"""The last person I needed to meet now was Himitsu, and she was certainly about to show up."""
text4251;"""She would distract, hinder me, and then Kagome would surely slip away."""
text4252;"""I hid behind a lamppost on the other side of the street, across from the school gates."""
text4253;"""The minutes of waiting felt terribly slow, my eyes darting to the clock over and over."""
text4254;"""According to it, barely any time had passed, but I couldn't escape the thought that Kagome knew what was going on and was long on her way home, her \""tail\"" left behind..."""
text4255;"""At some point, the flow of students started to grow thinner, the last lesson ending a good half an hour ago."""
text4256;"""Quite a girl she turned out to be!"""
text4257;"""I lingered for a couple seconds more and quickly crossed the street; I needed to get back and check — something could've held Kagome back."""
text4258;"""But there she was..."""
text4259;"""Iwamura ducked out from behind the gates and headed toward the station at a calm pace."""
text4260;"""I virtually froze in place, my nerves and muscles strained to the limit, unable to move."""
text4261;"""I couldn't let her notice me!"""
text4262;"""I made a titanic effort and walked past Kagome, giving her just a fleeting glance."""
text4263;"""Meanwhile, she didn't look at me at all. <w>As always."""
text4264;"""Well, that's better than nothing..."""
text4265;"""At that moment I didn't want to think that this whole time she'd been watching me, waiting for a mistake..."""
text4266;"""Well, why did I even assume Kagome was partaking in this espionage of mine?"""
text4267;"""Although being paranoid didn't automatically mean I wasn't being watched."""
text4268;"""The distance between the two of us was growing rapidly, like between two cars in a math problem that left the same starting point going in two different directions."""
text4269;"""But this problem also had a common point of destination — the Gifts of the Sea."""
text4270;"""At least that's what I wanted to believe."""
text4271;"""The fastest way to get to its district would be the subway, and it was obvious what station Kagome would use."""
text4272;"""Whether I was playing private investigator alone or it was a game for two, she wasn't about to break into a run."""
text4273;"""Meanwhile, I had no problem choosing a different route and getting to the station before Kagome."""
text4274;"""..."""
text4275;"""The Tokyo subway warranted a separate mention."""
text4276;"""Of course, it didn't look nearly as majestic as the <note=note21>\""Stalin's Empire\""</note> style of the Metro, and that's because the main point of the capital's transportation system was functionality."""
text4277;"""An enormous number of stations and line changes, hundreds of kilometers of railways, integration with the suburban railway."""
text4278;"""Himitsu and I got to school on foot, so I bother with this human anthill all that often."""
text4279;"""I guess somewhere deep inside it scared me — as did many things Japanese."""
text4280;"""Starting with the fact that, standing in a carriage, I was a good head and a half taller than the majority of people there..."""
text4281;"""But this time around, the crowds of people were actually beneficial to me — it would be harder for Kagome to notice me even if she were to look."""
text4282;"""This time, I didn't have to wait long — Iwamura arrived at the station's entrance right on time."""
text4283;"""Maybe she really was held back by something at school..."""
text4284;"""I boarded the carriage next to hers. So far everything was going according to plan."""
text4285;"""We got off at the exact same station I had been on yesterday."""
text4286;"""Gotcha, now she wouldn't be able to talk her way out of it."""
text4287;"""The narrow streets were giving way to each other, and it was getting harder and harder not to lose sight of Kagome, considering that it was dangerous to get too close."""
text4288;"""One turn, another, and the only thing I found in front of myself were lines of fish merchants and a bunch of local kids…"""
text4289;"""I stopped and looked around — Iwamura was nowhere to be found."""
text4290;"""For fuck's sake!"""
text4291;"""I swore aloud, earning an array of disapproving glances from the old women at a stall."""
text4292;"""How ill-mannered of you."""
text4293;"""A familiar sigh resounded from behind."""
text4294;"""It was Kagome."""
text4295;"""How...? But..."""
text4296;"""It was useless to say anything now, so I just waited for her to tell me something."""
text4297;"""You know, I could've just ignored you..."""
text4298;"""Kagome said thoughtfully."""
text4299;"""But you don't look like someone to be worried about. So I'm asking you straight — what do you want?"""
text4300;"""She became herself again, that haughty, annoyed expression back on her face."""
text4301;"""But man, how much our situation had changed in just a couple of hours!"""
text4302;"""There on the roof, I was interrogating her, convinced of my righteousness. <w>And what now?"""
text4303;"""I'd been following a schoolgirl, for quite a while, in Japan no less!"""
text4304;"""If she were to go to the police, my problems wouldn't look so important compared to the possibility of a harassment lawsuit on my hands..."""
text4305;"""I've told you already."""
text4306;"""But I had to put a brave face on this sorry business."""
text4307;"""Or do you think I believed you just like that?"""
text4308;"""A slight smile appeared on Kagome's face."""
text4309;"""Aren't you persistent."""
text4310;"""Of course!"""
text4311;"""But I've already said everything I wanted."""
text4312;"""And there went her cold disdain again."""
text4313;"""Why the performance then? You could've just called the police, like yesterday! How did you even notice me so easily?"""
text4314;"""It's a habit."""
text4315;"""A habit? Habit for what?"""
text4316;"""You wouldn't understand!"""
text4317;"""She suddenly lashed out."""
text4318;"""You don't get harassed every single day!"""
text4319;"""Harassed? Why would anyone harass me? What are you even talking about?"""
text4320;"""I flared up as well and, even though I noticed Kagome grow sadder, didn't think much of it."""
text4321;"""It doesn't matter!"""
text4322;"""She stomped her foot, which for some reason very strongly reminded me of Himitsu."""
text4323;"""If only it was as simple with Kagome as it was with her..."""
text4324;"""We aren't finished!"""
text4325;"""We are!"""
text4326;"""..."""
text4327;"""Kagome walked quickly along the waterfront, clearly heading to the Gifts of the Sea; I was trying not to lose her, lagging a couple meters behind."""
text4328;"""As you can see, I'm not going anywhere."""
text4329;"""I shouted."""
text4330;"""Probably louder than I should have."""
text4331;"""She stopped abruptly and, facing away from me, said with strain in her voice:"""
text4332;"""What do you all want from me?! Why can't you just leave me alone?! It's not like my life isn't difficult enough without you!"""
text4333;"""You have no idea how normal people live!"""
text4334;"""What do I have to do with any of it? I'm actually a pretty normal guy."""
text4335;"""Kagome didn't respond."""
text4336;"""Listen, I understand it's not easy for you... Those punks at school and all that."""
text4337;"""But believe me, I'm not like them at all. I'm not here to bully you! It just so happened that you are most likely somehow connected to a matter that directly concerns me."""
text4338;"""Kagome didn't respond..."""
text4339;"""Goddammit, do you think I'd mess with you if I had a choice?!"""
text4340;"""Yeah, sure it's hard for you! And I'm just here having the time of my life!"""
text4341;"""Oh whatever! You don't want to talk? Fine!"""
text4342;"""I turned around and started to quickly walk to the station."""
text4343;"""Wait..."""
text4344;"""Kagome's voice, barely discernible behind the sound of the sea, reached me."""
text4345;"""Well?"""
text4346;"""I fired a quick question, walking back to her."""
text4347;"""Y... you first!"""
text4348;"""Iwamura said stumblingly, avoiding my eyes."""
text4349;"""Me first what?"""
text4350;"""First you tell me what you need from Akira Moriyuki or Akira Shinji. What's your business with them?"""
text4351;"""At the moment Kagome wasn't giving me any cause for concern, so why couldn't I tell her the truth? <w>Or at least a part of it."""
text4352;"""I recently found out that Akira Shinji used to work together with my father and another man at Kobayashi Corporation. I have some questions to ask him."""
text4353;"""And what are those questions?"""
text4354;"""Now Kagome was curious."""
text4355;"""Sorry, I don't want to say it's none of your concern, although maybe that's the case, it's just..."""
text4356;"""\""I just don't want to put you in danger\""?"""
text4357;"""But to be honest, I didn't really give a damn about her."""
text4358;"""These thoughts evoked a viscous feeling of shame somewhere deep inside of me."""
text4359;"""It's personal information."""
text4360;"""Oh, so picking my brains for info is okay, but <i>Your Highness</i> may keep any secrets he pleases from the pitiful peasants?!"""
text4361;"""No, that's not what I meant at all!"""
text4362;"""Kagome returned to square one."""
text4363;"""She was so fixated on her own problems, she exploded each time anything reminded her of them."""
text4364;"""Fine..."""
text4365;"""I simply had no other choice."""
text4366;"""I recently learned there was a lot I didn't know about my father's work. Well, I didn't really know anything. I received a strange note, strange people have been calling me in the middle of the night..."""
text4367;"""So I'm trying to figure out what's even going on. I managed to find father's old colleague, he recommended me to look for Akira Shinji, who is supposed to know more."""
text4368;"""A note, a call... What are you trying to drag me into?!"""
text4369;"""I'm not dragging you into anything! Just a minute ago you knew exactly nothing about any of it and were perfectly fine!"""
text4370;"""Welp, that was a dumb thing to say."""
text4371;"""I mean, you have nothing to fear, you're not connected to me or my father in any way."""
text4372;"""Yes, but... God, what have I done to deserve this? I <i>am</i> kind of connected to Akira... Both Akiras."""
text4373;"""I gave Kagome a surprised look — was it really so simple?"""
text4374;"""But she looked like she'd already said everything she wanted and was now just intently studying the waterfront's pavement."""
text4375;"""Iwamura-san...?"""
text4376;"""Was that too formal?"""
text4377;"""She did, however, respond:"""
text4378;"""Akira Shinji is my father. He really did work for Kobayashi Corporation, but then he was laid off and has to help my granddad now — Akira Moriyuki — in the restaurant."""
text4379;"""And what's so secret about this that you couldn't tell me before?"""
text4380;"""Just because!"""
text4381;"""Kagome scowled."""
text4382;"""But why do you and your dad have different surnames?"""
text4383;"""He and my mother broke up when I was little, and I've been living with her under her maiden name. But mom died recently, and I moved in with dad."""
text4384;"""I'm very sorry..."""
text4385;"""Yeah, sure you are!"""
text4386;"""Iwamura grinned."""
text4387;"""I mean, you're right, I didn't know your mother, don't know your father or even really you. But what do you want me to say? Would you rather I kept silent instead of showing fake sympathy? It's just the proper thing to do."""
text4388;"""Kagome wasn't ready to agree — with anything, ever — but she knew I was right here, so she just ignored my remark and kept talking:"""
text4389;"""I don't know anything about father's work, but he's not that old! I'm sure he'd find a job in his field, but..."""
text4390;"""No one would hire him?"""
text4391;"""I guessed."""
text4392;"""She nodded."""
text4393;"""This is all very strange..."""
text4394;"""Well thank you, Sherlock Holmes! Am I to be your Doctor Watson?"""
text4395;"""She pulled the tips of her hair under her nose, making them look like a mustache."""
text4396;"""I involuntarily smiled."""
text4397;"""Well, if you want to be Watson, I'm okay with it. Onwards we go, to Gifts of the Sea!"""
text4398;"""No!"""
text4399;"""Kagome responded, immediately returning to her normal disposition."""
text4400;"""Why not?"""
text4401;"""There's nothing for you to do there. I'll talk with father and tell you everything afterward."""
text4402;"""Don't you think this whole thing concerns me a bit too?"""
text4403;"""What do you suppose you will even do there? You don't know anything yourself."""
text4404;"""Well, that's true but..."""
text4405;"""That's that then. See you!"""
text4406;"""Kagome, wait!"""
text4407;"""I grabbed her by the arm and immediately felt her tremble."""
text4408;"""Which was more unnatural to her, I wondered — the physical contact or being addressed by her first name?"""
text4409;"""Sorry, I didn't mean to."""
text4410;"""Kagome froze in place, her arms thrown around herself. She somehow seemed to grow even smaller."""
text4411;"""Come on, it's not that bad..."""
text4412;"""You aren't going to leave me alone, are you?"""
text4413;"""She asked quietly."""
text4414;"""As you can see."""
text4415;"""Fine, let's go..."""
text4416;"""..."""
text4417;"""Getting to Gifts of the Sea took a bit more time than I expected."""
text4418;"""Probably because yesterday I'd gotten back to the station mostly at a running pace."""
text4419;"""Did you really have to call the police yesterday?"""
text4420;"""Kagome shrugged."""
text4421;"""We may have a common interest here, so don't act like... like... don't act like that!"""
text4422;"""She raised her head and gave me a surprised look."""
text4423;"""What do you mean? Act like what?"""
text4424;"""Ah, whatever, forget it."""
text4425;"""I waved my hand so hard it accidentally hit a cart that'd been passing by, and a fat fish flopped down onto the road, slid down the pavement, and only miraculously didn't hit anyone."""
text4426;"""Goddammit!"""
text4427;"""I ran after it and into a fat lady in a kimono, the force of the collision pushing me to the side."""
text4428;"""Maneuvering between people, I finally caught up to the runaway fish. <w>But when I came back to Kagome, the cart was long gone."""
text4429;"""Are you alright in the head?"""
text4430;"""The girl burst out laughing with a genuine, heartfelt laugh, momentarily forgetting about everything that'd happened between the two of us and anything that could still happen."""
text4431;"""Embarrassed, I turned away, feeling myself blush."""
text4432;"""Here, for you!"""
text4433;"""I stretched the fish out to Kagome."""
text4434;"""A nice mackerel. Thanks."""
text4435;"""She knowingly examined the fish."""
text4436;"""Just don't expect me to cook something out of it!"""
text4437;"""I didn't really..."""
text4438;"""You've got a friend for that!"""
text4439;"""Catherine? <w>Catherine again?!"""
text4440;"""The one with the red hair. Does she dye it or something?"""
text4441;"""How do you know about Himitsu?"""
text4442;"""By virtue of not being blind."""
text4443;"""Well, I guess... You must be good at cooking too?"""
text4444;"""Must be."""
text4445;"""She gave a short reply and immediately added:"""
text4446;"""Here we are."""
text4447;"""Today the restaurant of Kagome's grandfather turned out to be open and packed with people."""
text4448;"""Well, I haven't exactly earned a treat, but I'm really hungry. I hope I can at least get some food at your place if I pay for it?"""
text4449;"""Wait here, I'll talk with father and come back."""
text4450;"""Iwamura said in a tone that would suffer no objections."""
text4451;"""Your wish is my command, mistress!"""
text4452;"""I sat down on the border stones, drooling at the smells that reached me from inside the restaurant."""
text4453;"""At first glance, Kagome didn't have it that bad: her grandfather owned a restaurant, her father had held a decently high position at Kobayashi Corporation until recently."""
text4454;"""Then why was she treated so badly?"""
text4455;"""Even if you can't stand up for yourself, the social status always helps."""
text4456;"""She wasn't at the level of the spoiled douches from our school, sure, but also nowhere near the bottom of society."""
text4457;"""A penny for your thoughts, young man."""
text4458;"""Addressing me was a pink-cheeked, noticeably drunk, quite short old man."""
text4459;"""Just waiting for someone here."""
text4460;"""A girlfriend, eh?"""
text4461;"""The smile on his face seemed to grown even wider as the narrow line of his eyes almost completely disappeared."""
text4462;"""You could say so — a friend in need."""
text4463;"""Heh, young blood."""
text4464;"""The old man puttered off, humming an old Japanese song about Katya under his breath."""
text4465;"""I caught myself thinking that I reacted quite calmly to him."""
text4466;"""Probably just because I currently had other things on my mind."""
text4467;"""I was about to go into Gifts of the Sea, when its doors flung open and Kagome ran out of them, clearly agitated."""
text4468;"""They took... they took my father!"""
text4469;"""What? Who took him?"""
text4470;"""She looked at me aghast, her breath wavy."""
text4471;"""They took father!"""
text4472;"""Who took your father? Took where?"""
text4473;"""Her eyes flashed, and Kagome took a step back."""
text4474;"""It's you... It's all your fault!"""
text4475;"""Hold on a minute! Calm down and think logically! If it's my fault, why would I put on this act?"""
text4476;"""But calling for the voice of reason was useless."""
text4477;"""Come on, think about it! I'd be the primary suspect! On top of it, I was threatened too..."""
text4478;"""I just wanted to talk, I didn't want to scare you. Sorry!"""
text4479;"""I made a low, Japanese, bow."""
text4480;"""It could be that this happened to your father because of me."""
text4481;"""I don't know what reaction I expected, but Kagome's expression grew softer, although she still looked grim, like Mount Fuji before a storm."""
text4482;"""Grandpa says two decently dressed men came today..."""
text4483;"""I immediately remembered the man who'd been following me a couple days ago."""
text4484;"""They asked to talk to father. Grandpa doesn't know what they talked about. Then dad left with them and told grandpa not to worry."""
text4485;"""But how could I possibly not worry!"""
text4486;"""I took a moment to think."""
text4487;"""Kagome was clearly right — to say there was reason to worry would be putting it lightly."""
text4488;"""At that moment I was convinced everything that had happened recently was linked: the note, the call, Ichinose, the kidnapping of Kagome's father..."""
text4489;"""<i>They</i> were hiding something and covering their tracks well!"""
text4490;"""But then why didn't they just kill me? <w>Who would pay attention to the disappearance of an orphan schoolboy?"""
text4491;"""No... There was clearly something more important going on."""
text4492;"""We have to call the police!"""
text4493;"""Kagome said resolutely."""
text4494;"""If things are as you say, I don't think the police will help us in any way here."""
text4495;"""What would you even know!"""
text4496;"""Think for yourself! We're talking about Kobayashi Corporation, understand? They've got the whole of Japan under their control."""
text4497;"""I'm going to call them, and you can do whatever you want!"""
text4498;"""Try to stop her"""
text4499;"""Do nothing"""
text4500;"""Hold on a second, I'm telling you! You'll only make the situation worse!"""
text4501;"""I didn't want to say that she at least still had her grandfather, but that was the truth."""
text4502;"""We need to wait and think it through!"""
text4503;"""But Kagome had no intention of listening to me."""
text4504;"""And I felt an inexplicable desire to do my own thing."""
text4505;"""I was absolutely sure she was wrong."""
text4506;"""Wait!"""
text4507;"""I grabbed her arm again and jerked her to the street."""
text4508;"""Let go, don't touch me!"""
text4509;"""Her voice was quiet, even too quiet against the drunken hubbub of the restaurant."""
text4510;"""I understand how you feel, but acting on emotion will only make things worse."""
text4511;"""I promise we'll find your father. I dragged you into this and all..."""
text4512;"""Kagome stopped trying to break free."""
text4513;"""Fine, in reality, we've just got common interests. We find your father — he answers my questions."""
text4514;"""But right now you need to calm down!"""
text4515;"""She stood pressed against the doors, her head hanging low."""
text4516;"""Do you understand what I'm saying?"""
text4517;"""Mhm..."""
text4518;"""Kagome made a slight nod."""
text4519;"""Oh, do whatever you want!"""
text4520;"""I was absolutely sure a call to the police wouldn't bring any results, but it simply was none of my business."""
text4521;"""Kagome returned virtually a minute later, infuriated."""
text4522;"""They... they said they see nothing strange about it!"""
text4523;"""That father left with those people of his own will!"""
text4524;"""How... how could they?!"""
text4525;"""What did I tell you?"""
text4526;"""She cast an angry glance at me."""
text4527;"""Kobayashi Corporation, remember?"""
text4528;"""The wrath on Kagome's face was slowly giving place to despair."""
text4529;"""What do we do now...?"""
text4530;"""Oh, so now it was \""us\""?"""
text4531;"""Well, I really didn't want to draw attention to her choice of words right now."""
text4532;"""Did your grandfather say anything else?"""
text4533;"""He's not young..."""
text4534;"""She replied after a long pause."""
text4535;"""He gets things wrong, if at all. If not for me and a couple other employees, the restaurant would've long gone under."""
text4536;"""Really? It looks to be thriving from the outside."""
text4537;"""Kagome smiled sadly."""
text4538;"""But still, it all started with you!"""
text4539;"""She said in a serious tone, though not angrily."""
text4540;"""Post hoc ergo propter hoc. Whatever's happening right now is just the consequence of something bigger. Me, you, your father — we're all just pawns in some game."""
text4541;"""Do you even hear yourself? \""Pawns in some game\""! You're talking like... like..."""
text4542;"""Like?"""
text4543;"""I don't know, I don't want anything to do with it! My life isn't sunshine and rainbows as it is. You may not be directly at fault here, but if only you kept away from us..."""
text4544;"""I was looking at her and just couldn't understand why she wasn't crying."""
text4545;"""If Himitsu were in her place, the tears would have already been flowing like a river at our first meeting at the station."""
text4546;"""Even Catherine wouldn't have managed to hold on for this long."""
text4547;"""To tell the truth, I could hardly understand how I managed to retain a seemingly cool head myself."""
text4548;"""Meanwhile, Kagome… <w>Yes, she was angry, she acted irrationally and even foolishly, but at the same time, she persistently held her own."""
text4549;"""It may not have been a direct fight with a looming threat, not a charge with a drawn sword, but... <w>This reaction was more akin to the silent protest of an ancient cliff."""
text4550;"""Beaten by hurricanes, whipped by the winds, it would remain in its place even a thousand years later."""
text4551;"""Without advancing even a single step forward and without surrendering a single centimeter."""
text4552;"""She was used to this life, and I'd climbed into her orderly world, bringing chaos and destruction."""
text4553;"""Fine, you're right, I shouldn't have gotten you involved in all this."""
text4554;"""I turned around and was about to leave, but Kagome stopped me."""
text4555;"""Oh no you don't! If you got me involved, you should take responsibility!"""
text4556;"""Do you have something in mind?"""
text4557;"""Yeah, I've got an idea. You were talking about Kobayashi Corporation, right? That's where we'll start!"""
text4558;"""But how do you intend to…"""
text4559;"""Meet me tomorrow in the park across from their office downtown."""
text4560;"""But..."""
text4561;"""And now I need to go to work!"""
text4562;"""How can you even think about that at a time like this?"""
text4563;"""I was genuinely surprised."""
text4564;"""What about it? Who will help grandpa if not me? Father wasn't of much help — he was good with abstract ideas, in theoretical sciences, but when it came to slicing cabbage..."""
text4565;"""Kagome let out a heavy sigh."""
text4566;"""Tomorrow. At noon."""
text4567;"""Yeah, okay..."""
text4568;"""She disappeared behind the door, and I heard drunken shouts of, \""Kagome-chan, Kagome chan!\""..."""
text4569;"""The windows of my house burned with dim light. It was about time I changed the bulb."""
text4570;"""The front door creaked quietly, and a voice came from the kitchen:"""
text4571;"""Niko-kun..."""
text4572;"""Did she have some kind of detector tuned to me, I wondered?"""
text4573;"""We haven't seen each other all day."""
text4574;"""She started as soon as I came in."""
text4575;"""Yeah, sorry, I saw your note... I had some things to care of today."""
text4576;"""At this point, even I could tell how implausible my lie sounded."""
text4577;"""Come, dinner's on the table."""
text4578;"""I went to your class after lessons were done, but Kyosuke-kun said you left right away."""
text4579;"""Yeah, I just couldn't bear being in his company for another minute!"""
text4580;"""I tried to make a joke, but Himitsu didn't seem to be in the mood."""
text4581;"""Really? Okay. Come, dinner's on the table."""
text4582;"""She said in her usual didactic tone, as if the events of the past week never happened."""
text4583;"""So, how are you doing?"""
text4584;"""To be honest, I just wanted to forget this crazy day."""
text4585;"""Fine."""
text4586;"""She didn't even look at me."""
text4587;"""In a different situation, I would've probably tried to continue the conversation, find out why she was acting like that."""
text4588;"""But in this case, it was clear."""
text4589;"""How long could Himitsu keep going like this...?"""
text4590;"""Well, it was entirely possible I'd be killed before she'd give up."""
text4591;"""And we had agreed to go on a date too..."""
text4592;"""It's very good!"""
text4593;"""In reality, I wasn't even paying attention to what I was eating."""
text4594;"""I'm glad."""
text4595;"""She responded as indifferently as before."""
text4596;"""So?"""
text4597;"""I loudly threw the chopsticks down on the table."""
text4598;"""What?"""
text4599;"""Are you going to keep acting like this?"""
text4600;"""Acting like what?"""
text4601;"""You know what I mean."""
text4602;"""I don't."""
text4603;"""And then I realized this was just her way of being upset with me."""
text4604;"""And Himitsu really did have things to be upset about."""
text4605;"""On the other hand, I didn't have to report my every step to her!"""
text4606;"""I had a life of my own, a dangerous life sometimes, one she had no reason to be involved in."""
text4607;"""You know, you're right."""
text4608;"""I rose from the table and strolled through the kitchen."""
text4609;"""Something's happened in the last several days..."""
text4610;"""It was best to tell her now. <w>Nobody knew what could happen next."""
text4611;"""And forewarned is forearmed!"""
text4612;"""It could be that I wasn't the only one in danger, that those close to me were too.<w>And I had nobody closer than Himitsu."""
text4613;"""You must've noticed."""
text4614;"""Himitsu looked at me unblinkingly with her big green eyes."""
text4615;"""I'm being watched... To be exact, I came to the attention of some mysterious people or a company. They didn't threaten me directly, but there's reason to believe I'm in danger."""
text4616;"""Niko-kun..."""
text4617;"""Wait, let me finish."""
text4618;"""It was hard to look into her eyes, even though for the first time in a long while I was telling the truth."""
text4619;"""It's all connected to my father's work. Or at least I think it is. And, well, it's probably not even about me — there's something bigger going on and I just ended up in somebody's way."""
text4620;"""Niko-kun..."""
text4621;"""Himitsu stubbornly repeated, growing ever gloomier."""
text4622;"""I'll talk to dad, he'll help!"""
text4623;"""Don't tell anyone about this!"""
text4624;"""I shouted, unexpectedly even to myself."""
text4625;"""She flinched."""
text4626;"""You shouldn't. These people, they…"""
text4627;"""I immediately remembered the fruitless call to the police."""
text4628;"""They can do anything! They've got everything bought and paid for!"""
text4629;"""Niko-kun, but how can we..."""
text4630;"""I found a man who used to work with my father. And now he's disappeared, he was taken! Because of me, understand?!"""
text4631;"""I didn't want to tell her about Kagome, didn't want to drag Himitsu deeper into all of this."""
text4632;"""You might be in danger too!"""
text4633;"""If I'm with you, I'm not afraid of anything."""
text4634;"""She tried to smile."""
text4635;"""Are you kidding me?! \""Not afraid of anything\""?! How can I protect you if I can't even protect myself?!"""
text4636;"""I had to calm down."""
text4637;"""Sorry. Maybe it's not really that serious, I may be overthinking things."""
text4638;"""But in any case, don't tell anyone about this, got it?"""
text4639;"""Himitsu nodded."""
text4640;"""It's important!"""
text4641;"""She wouldn't tell anyone, even on pain of death..."""
text4642;"""Alright, I got it."""
text4643;"""And most importantly, don't worry! I didn't want to scare you."""
text4644;"""Niko-kun, I'm glad you told me the truth."""
text4645;"""Himitsu came up to and hugged me."""
text4646;"""I carefully caressed her head and pressed her close."""
text4647;"""For a moment, I felt a burning desire for everything to be how it was, for my former life to return."""
text4648;"""How could I ever think it was boring?"""
text4649;"""I just wanted to protect you..."""
text4650;"""Himitsu trembled in my arms, crying."""
text4651;"""Come on, what is it?"""
text4652;"""It's just... just... Why does it have to be you? You don't deserve any of this! Your parents, Katty-chan, now this!"""
text4653;"""Catherine. <w>It's been a while since I thought about her."""
text4654;"""Yeah, I'm having the time of my life... I guess that's just my luck."""
text4655;"""Can I..."""
text4656;"""Himitsu didn't have time to finish, interrupted by the telephone's ringing."""
text4657;"""In the silence of the kitchen, its sound seemed like the thunder of a coming storm, still distant but already inescapable."""
text4658;"""I need to answer..."""
text4659;"""Niko-kun..."""
text4660;"""She hugged me closer."""
text4661;"""Don't worry, you! They wouldn't call me every day. They've got a secret organization there, not a telephone station, you know."""
text4662;"""I gently slipped out of Himitsu's embrace and walked to the hall."""
text4663;"""Hello..."""
text4664;"""My voice didn't tremble, but I felt myself shrink inside."""
text4665;"""Nikolai."""
text4666;"""I let out a sigh of relief."""
text4667;"""Yes, Ryunosuke-san, I'm listening."""
text4668;"""It was Himitsu's father."""
text4669;"""Is my daughter with you?"""
text4670;"""Sometimes I really couldn't understand why he was letting Himitsu spend so much time at my place."""
text4671;"""Surely he could find a better son-in-law."""
text4672;"""Yes, should I call her?"""
text4673;"""N-no..."""
text4674;"""He responded after a short pause."""
text4675;"""Just tell her to go home."""
text4676;"""Alright, definitely."""
text4677;"""I hung up the phone and returned to the kitchen."""
text4678;"""Your father called, he wants to see you."""
text4679;"""But... But I can't now! I'm..."""
text4680;"""What? Going to guard me? Don't, I'll be alright, I'll close all doors for the night!"""
text4681;"""Fine, but tomorrow I'll come early in the morning!"""
text4682;"""Uh, yeah, about tomorrow..."""
text4683;"""I scratched the back of my head and looked away."""
text4684;"""I've got some things to take care of... I mean... Fine! Tomorrow I'm meeting with someone who can help me."""
text4685;"""We're meeting in the middle of the day, in the city center. I'll be alright."""
text4686;"""I'll go with you!"""
text4687;"""God, here you go again... They're in a difficult situation right now. If we come together, it'll be suspicious! It won't take long. I'll call you as soon as I'm back."""
text4688;"""Fine!"""
text4689;"""She pouted but conceded."""
text4690;"""But remember, I'll be waiting."""
text4691;"""Yes, ma'am!"""
text4692;"""I saluted and smiled."""
text4693;"""..."""
text4694;"""\""Troubles sleeping come from idleness\"" — was something my father used to say."""
text4695;"""When you're so exhausted at the end of the say that there isn't any strength left to even brush your teeth, insomnia is never a problem..."""
